Date,mag,lon,lat,depth
11/26/1997,4,85.7717,27.6126,19
11/27/1997,5.1,87.2609,27.5149,26
11/27/1997,4.1,87.1373,27.521,10
12/8/1997,4.9,87.2541,27.4914,24.9
12/8/1997,3.9,87.1394,27.4578,35
1/16/1998,4,86.1933,30.044,35
1/16/1998,3.8,86.2846,30.1284,35
1/19/1998,3.8,80.6156,29.6246,19
2/1/1998,4.1,87.1488,28.3093,10
2/12/1998,4.2,87.9195,26.9473,36
2/22/1998,4.9,85.5613,28.5832,45.2
2/22/1998,4.5,88.1143,30.2221,41
2/28/1998,4.3,87.6483,26.9786,24
3/15/1998,4.1,86.879,28.7766,35
3/18/1998,3.7,88.1993,27.1494,35
3/21/1998,3.8,86.3933,28.5764,57
3/27/1998,3.8,81.6302,30.0629,33
5/10/1998,3.9,81.9668,29.5592,31
5/13/1998,3.7,81.9448,29.5456,44.6
5/16/1998,4,84.6978,26.6277,35
5/20/1998,3.9,81.5431,29.5403,27
6/27/1998,4.9,85.6608,27.7173,19.6
7/15/1998,4.6,81.1765,29.2919,13.7
7/20/1998,4.5,88.1831,30.0567,13.9
7/20/1998,4.2,87.8976,30.1562,37
7/20/1998,3.9,88.1918,30.2346,37
7/20/1998,3.7,88.1234,30.2807,41
7/31/1998,4,87.8247,28.1453,71
8/1/1998,3.8,88.0541,30.2606,41
8/22/1998,3.9,84.3102,31.7114,35
8/24/1998,4,88.1835,30.1704,37
8/25/1998,4.3,88.178,30.0983,5.3
8/25/1998,4.2,88.1994,30.0268,45.9
8/25/1998,3.9,88.1548,30.1697,37
8/25/1998,3.8,88.1222,30.0674,37
8/29/1998,3.9,88.1901,30.0301,37
8/30/1998,4.8,88.1742,30.0221,30.4
8/30/1998,4,88.0415,30.0844,3.1
9/3/1998,5.6,86.9607,27.8233,8.6
9/3/1998,4.5,86.7696,27.5954,35
9/4/1998,4.1,86.8705,27.7176,35
9/4/1998,4,86.7313,27.6641,35
9/4/1998,3.6,86.8156,27.6332,35
9/6/1998,4.6,86.8374,27.8017,22.2
9/7/1998,3.8,87.016,27.8606,18
9/8/1998,3.9,87.0106,27.8288,1.2
9/11/1998,3.6,87.4124,28.7124,35
9/12/1998,4.1,87.1165,27.98,11.1
9/21/1998,4.1,88.0617,29.9422,37
9/26/1998,3.9,86.2274,27.6519,24.1
9/26/1998,3.9,82.0236,29.8541,21
10/2/1998,4,85.1927,29.2459,35
10/4/1998,3.8,83.9326,29.0537,35
10/13/1998,3.7,88.0692,29.8725,37
