Date,Magnitude,Longitude,Latitude,Depth
6/14/2001 16:51,3.7,80.1912,34.7619,35
6/17/2001 1:49,4.3,78.4549,32.4655,61.4
6/23/2001 2:33,4.2,77.4699,30.2713,4.9
7/25/2001 19:01,3.9,80.1552,30.173,16
8/9/2001 5:56,4,79.2439,30.5528,24.9
8/10/2001 12:19,3.7,77.3108,28.9085,17
9/13/2001 10:19,3.9,77.3753,29.0964,30
9/17/2001 23:25,3.9,79.5463,30.3669,17
10/3/2001 21:24,3.9,76.1775,33.2088,44.2
10/14/2001 21:14,4.7,76.1245,32.531,12.6
10/20/2001 21:41,3.8,76.4958,33.5314,62.5
11/6/2001 16:09,4.8,79.7349,34.1175,25.5
11/26/2001 15:57,3.7,78.8413,32.496,6.3
12/13/2001 11:54,3.8,76.5131,33.2745,0.9
12/25/2001 5:44,4.5,77.0756,35.1145,34
12/30/2001 13:56,4.4,76.8588,35.1833,34
1/15/2002 15:20,3.7,80.1282,34.3908,28
3/9/2002 18:43,4,80.027,29.9106,34.4
3/14/2002 18:39,4.1,76.514,34.1283,25
3/14/2002 18:44,3.8,76.387,34.1287,25
3/15/2002 2:02,3.9,76.4263,34.135,14.2
3/15/2002 7:29,3.7,76.5127,34.0532,16.8
3/18/2002 4:29,4,76.2371,32.8265,10
4/6/2002 4:40,3.8,76.5671,34.1692,25
4/25/2002 8:26,3.6,76.5729,34.3071,10
5/23/2002 5:03,4.3,76.4284,34.2114,10.2
5/23/2002 15:24,3.8,76.5391,34.2284,35
6/4/2002 18:32,4,76.1486,34.3705,14.7
6/19/2002 10:10,3.9,76.3383,29.1989,27.2
6/28/2002 9:48,3.6,76.7046,33.4009,22.6
9/4/2002 16:11,4,77.862,31.3691,8
9/4/2002 21:30,3.6,77.8522,31.405,36.5
9/13/2002 22:39,4.3,77.752,31.4755,9
9/29/2002 14:03,4,80.0793,29.9266,16
10/8/2002 4:48,3.7,77.3093,31.6172,10.9
12/15/2002 1:30,3.6,76.7583,28.9527,9.4
2/3/2003 23:02,3.6,76.9474,31.9713,14
2/11/2003 15:00,3.6,76.9365,30.5991,7.3
2/16/2003 23:41,3.8,78.4633,30.8872,10
3/5/2003 8:22,4.2,78.6162,31.4217,32
3/5/2003 8:24,4.1,78.5799,31.3925,32
4/4/2003 7:02,4.7,80.0259,30.0461,23.7
4/16/2003 13:54,3.7,76.4429,33.6645,31
4/21/2003 23:50,3.6,77.6958,31.4362,6.1
4/27/2003 19:17,3.8,76.6841,32.8048,7.2
4/29/2003 0:31,3.6,77.6246,30.5217,25.2
5/27/2003 4:23,5,79.311,30.4676,24.4
5/27/2003 10:14,4,79.3244,30.5622,14.6
7/3/2003 1:08,3.6,77.8879,31.4369,6.4
7/7/2003 3:03,3.9,80.18,34.8724,35
8/28/2003 13:01,3.8,76.6703,29.186,14.8
9/3/2003 8:27,3.9,78.313,32.4392,6.7
9/15/2003 12:28,3.6,76.0008,32.7829,28
9/27/2003 15:40,4.4,76.028,31.5354,15.5
9/30/2003 9:08,3.8,77.2742,32.8766,35
11/24/2003 22:47,3.9,76.436,32.4027,24.4
11/27/2003 2:28,3.8,76.5601,32.4248,14
11/30/2003 12:58,3.6,79.2621,30.6486,29.6
12/2/2003 11:38,3.7,78.1732,31.6866,29
12/7/2003 20:59,4,77.5827,35.1258,21
12/12/2003 1:02,4,79.6426,30.8101,35
12/15/2003 23:51,4,78.2791,31.5459,10
12/15/2003 23:56,4.3,78.1679,31.5566,8
